 Time   | ALU Mode | A    | B    | Out  | Overflow
--------------------------------------------------
 110  ns| 000      | 0    | 0    | 0    | 0
 120  ns| 000      | 1    | 0    | 1    | 0
 130  ns| 000      | 0    | 1    | 1    | 0
 140  ns| 000      | 1    | 1    | 2    | 0
 150  ns| 000      | -1   | 0    | -1   | 0
 160  ns| 000      | 0    | -1   | -1   | 0
 170  ns| 000      | -1   | -1   | -2   | 0
 180  ns| 000      | 127  | 0    | 127  | 0
 190  ns| 000      | 0    | 127  | 127  | 0
 200  ns| 000      | 127  | 1    | -128 | 1
 210  ns| 000      | 1    | 127  | -128 | 1
 220  ns| 000      | 127  | 127  | -2   | 1
 230  ns| 000      | -128 | 1    | -127 | 0
 240  ns| 000      | -128 | -1   | 127  | 1
 250  ns| 000      | 73   | 25   | 98   | 0
 260  ns| 000      | 51   | -51  | 0    | 0
--------------------------------------------------
 270  ns| 001      | 0    | 0    | 0    | 0
 280  ns| 001      | 1    | 0    | 0    | 0
 290  ns| 001      | 0    | 1    | 0    | 0
 300  ns| 001      | 1    | 1    | 1    | 0
 310  ns| 001      | -1   | 0    | 0    | 0
 320  ns| 001      | 0    | -1   | 0    | 0
 330  ns| 001      | -1   | -1   | -1   | 0
 340  ns| 001      | 127  | 0    | 0    | 0
 350  ns| 001      | 0    | 127  | 0    | 0
 360  ns| 001      | 127  | 1    | 1    | 1
 370  ns| 001      | 1    | 127  | 1    | 1
 380  ns| 001      | 127  | 127  | 127  | 1
 390  ns| 001      | -128 | 1    | 0    | 0
 400  ns| 001      | -128 | -1   | -128 | 1
 410  ns| 001      | 73   | 25   | 9    | 0
 420  ns| 001      | 51   | -51  | 1    | 0
--------------------------------------------------
 430  ns| 010      | 0    | 0    | 0    | 0
 440  ns| 010      | 1    | 0    | 1    | 0
 450  ns| 010      | 0    | 1    | 1    | 0
 460  ns| 010      | 1    | 1    | 1    | 0
 470  ns| 010      | -1   | 0    | -1   | 0
 480  ns| 010      | 0    | -1   | -1   | 0
 490  ns| 010      | -1   | -1   | -1   | 0
 500  ns| 010      | 127  | 0    | 127  | 0
 510  ns| 010      | 0    | 127  | 127  | 0
 520  ns| 010      | 127  | 1    | 127  | 1
 530  ns| 010      | 1    | 127  | 127  | 1
 540  ns| 010      | 127  | 127  | 127  | 1
 550  ns| 010      | -128 | 1    | -127 | 0
 560  ns| 010      | -128 | -1   | -1   | 1
 570  ns| 010      | 73   | 25   | 89   | 0
 580  ns| 010      | 51   | -51  | -1   | 0
--------------------------------------------------
 590  ns| 011      | 0    | 0    | 0    | 0
 600  ns| 011      | 1    | 0    | 1    | 0
 610  ns| 011      | 0    | 1    | 1    | 0
 620  ns| 011      | 1    | 1    | 0    | 0
 630  ns| 011      | -1   | 0    | -1   | 0
 640  ns| 011      | 0    | -1   | -1   | 0
 650  ns| 011      | -1   | -1   | 0    | 0
 660  ns| 011      | 127  | 0    | 127  | 0
 670  ns| 011      | 0    | 127  | 127  | 0
 680  ns| 011      | 127  | 1    | 126  | 1
 690  ns| 011      | 1    | 127  | 126  | 1
 700  ns| 011      | 127  | 127  | 0    | 1
 710  ns| 011      | -128 | 1    | -127 | 0
 720  ns| 011      | -128 | -1   | 127  | 1
 730  ns| 011      | 73   | 25   | 80   | 0
 740  ns| 011      | 51   | -51  | -2   | 0
--------------------------------------------------
 750  ns| 100      | 0    | 0    | 0    | 0
 760  ns| 100      | 1    | 0    | 1    | 0
 770  ns| 100      | 0    | 1    | -1   | 0
 780  ns| 100      | 1    | 1    | 0    | 0
 790  ns| 100      | -1   | 0    | -1   | 0
 800  ns| 100      | 0    | -1   | 1    | 0
 810  ns| 100      | -1   | -1   | 0    | 0
 820  ns| 100      | 127  | 0    | 127  | 0
 830  ns| 100      | 0    | 127  | -127 | 0
 840  ns| 100      | 127  | 1    | 126  | 0
 850  ns| 100      | 1    | 127  | -126 | 0
 860  ns| 100      | 127  | 127  | 0    | 0
 870  ns| 100      | -128 | 1    | 127  | 1
 880  ns| 100      | -128 | -1   | -127 | 0
 890  ns| 100      | 73   | 25   | 48   | 0
 900  ns| 100      | 51   | -51  | 102  | 0
--------------------------------------------------
 910  ns| 101      | 0    | 0    | -1   | 0
 920  ns| 101      | 1    | 0    | 0    | 0
 930  ns| 101      | 0    | 1    | -2   | 0
 940  ns| 101      | 1    | 1    | -1   | 0
 950  ns| 101      | -1   | 0    | -2   | 0
 960  ns| 101      | 0    | -1   | 0    | 0
 970  ns| 101      | -1   | -1   | -1   | 0
 980  ns| 101      | 127  | 0    | 126  | 0
 990  ns| 101      | 0    | 127  | -128 | 0
 1000 ns| 101      | 127  | 1    | 125  | 0
 1010 ns| 101      | 1    | 127  | -127 | 0
 1020 ns| 101      | 127  | 127  | -1   | 0
 1030 ns| 101      | -128 | 1    | 126  | 1
 1040 ns| 101      | -128 | -1   | -128 | 0
 1050 ns| 101      | 73   | 25   | 47   | 0
 1060 ns| 101      | 51   | -51  | 101  | 0
--------------------------------------------------
 1070 ns| 110      | 0    | 0    | 1    | 0
 1080 ns| 110      | 1    | 0    | 2    | 0
 1090 ns| 110      | 0    | 1    | 2    | 0
 1100 ns| 110      | 1    | 1    | 3    | 0
 1110 ns| 110      | -1   | 0    | 0    | 0
 1120 ns| 110      | 0    | -1   | 0    | 0
 1130 ns| 110      | -1   | -1   | -1   | 0
 1140 ns| 110      | 127  | 0    | -128 | 1
 1150 ns| 110      | 0    | 127  | -128 | 1
 1160 ns| 110      | 127  | 1    | -127 | 1
 1170 ns| 110      | 1    | 127  | -127 | 1
 1180 ns| 110      | 127  | 127  | -1   | 1
 1190 ns| 110      | -128 | 1    | -126 | 0
 1200 ns| 110      | -128 | -1   | -128 | 0
 1210 ns| 110      | 73   | 25   | 99   | 0
 1220 ns| 110      | 51   | -51  | 1    | 0
--------------------------------------------------
 1230 ns| 111      | 0    | 0    | 0    | 0
 1240 ns| 111      | 1    | 0    | 0    | 0
 1250 ns| 111      | 0    | 1    | 1    | 0
 1260 ns| 111      | 1    | 1    | 1    | 0
 1270 ns| 111      | -1   | 0    | 0    | 0
 1280 ns| 111      | 0    | -1   | -1   | 0
 1290 ns| 111      | -1   | -1   | -1   | 0
 1300 ns| 111      | 127  | 0    | 0    | 0
 1310 ns| 111      | 0    | 127  | 127  | 0
 1320 ns| 111      | 127  | 1    | 1    | 1
